3A353C, None, https://amzn.to/3rkyeBP, Enhanced PLA, Plas3D, https://plas3d.com
688356, https://www.nhh.com.hk/en/3dprinting/product_detail.html?id=1, None, PLA, NHH, https://www.nhh.com.hk/en/3dprinting/Product.html
C8AB13, https://www.printedsolid.com/products/jessie-pla-1-75mm-x-1kg-golden-winner, None, PLA, Printed Solid, https://www.printedsolid.com
2C3274, https://www.microcenter.com/product/611554/inland-175mm-dark-blue-pla-3d-printer-filament-1kg-spool-(22-lbs), None, PLA+, Inland, https://www.microcenter.com
A73225, https://www.ziro3d.com/products/ziro-diamond-pla-filament-red-175mm-1kg-87, https://amzn.to/37GxAru, PLA, Ziro, http://www.ziro3d.com
DD5124, https://amolen.com/collections/pla/products/amolen-pla-3d-printer-filament-1-75mm-filament-1kg-brick-red, https://amzn.to/3E6i704, PLA, Amolen, None
9FA3A4, None, None, PLA, Amolen, None
FCFCFC, https://www.reprappertech.com/products/reprapper-pla-3d-printer-filament-175mm-%C2%B1-003mm-22lb-1kg,-fit-most-fdm-printer-3d-pen?VariantsId=10010, None, PLA, Reprapper, https://www.reprappertech.com/
FAFBFA, None, https://amzn.to/3LYuNJ9, PLA, eSUN, https://esun3dstore.com/
4A4249, None, https://amzn.to/3uXYuCS, PLA, Hello3D, http://www.hello3dprint.com/
C62F2C, https://eryone3d.com/collections/glitter-pla/products/eryone-galaxy-sparkly-glitter-pla-3d-printer-filament-1-75mm-dimensional-accuracy-0-05-mm-1kg-2-2lbs-spool, https://amzn.to/38sGt8p, PLA, Eryone, https://eryone3d.com/
C79B58, None, https://amzn.to/3NGBjpk, PLA, Amolen, None
FBF3DA, https://www.alibaba.com/product-detail/3D-Wood-Pla-Filament-3D-Extruder_62130029063.html?spm=a2700.shop_plser.41413.18.38671424kHp486, https://amzn.to/3IZeDx6, PLA, Sunlu, https://sunlugw.en.alibaba.com/
F94A4C, None, https://amzn.to/3LDJZef, PLA, HZST 3D, https://www.amazon.com/s?k=HZST3D
7C778D, None, https://amzn.to/3IZeb1S, PLA, TTYT3D, https://www.amazon.com/stores/TTYT3D/%E4%B8%BB%E9%A1%B5/page/FE4E7A29-1E7C-4F86-8509-DA6E47E96C8D
C85461, None, None, PLA, Printed Solid, https://www.printedsolid.com
B9C3CC, None, https://www.amazon.com/Filament-Printing-Material-Lavender-SHENGTIAN/dp/B07NN4VKFQ?th=1, PLA, HZST 3D, https://www.amazon.com/s?k=HZST3D
DCFE02, None, https://amzn.to/3j54y7j, PLA, Amazon Basics, https://amazon.com
B8DE19, https://www.printedsolid.com/products/jessie-pla-1-75mm-x-1kg-green-slime-glitter, None, PLA, Printed Solid, https://www.printedsolid.com
FA828E, None, None, PLA, Printed Solid, https://www.printedsolid.com
A48167, https://www.azurefilm.com/en/wood-filament-cork, None, PLA, AzureFilm, https://www.azurefilm.com/
FBFCF4, https://eolasprints.com/products/pla-filament-1-75-mm?variant=42329912541443, None, PLA+, Eolas Prints, https://eolasprints.com/
7D513B, https://www.printedsolid.com/products/jessie-pla-1-75mm-x-1kg-tree-brown, None, PLA, Printed Solid, https://www.printedsolid.com
FDA33A, https://www.microcenter.com/product/623250/inland-175mm-orange-tough-pla-3d-printer-filament-1kg-spool-(22-lbs), https://amzn.to/3j2t34U, PLA+, Inland, https://www.microcenter.com
E8C9A3, https://www.hatchbox3d.com/products/3d-wood-1kg1-75?_pos=3&_sid=878bc384e&_ss=r, https://amzn.to/36TxiNF, PLA, Hatchbox, https://hatchbox3d.com/
DAC784, https://amolen.com/products/amolen-3d-printer-filament-frosted-bronze-1-75mm-pla-filament-0-03-mm-1kg-200g, None, PLA, Amolen, None
A3ACB2, https://www.printedsolid.com/products/jessie-pla-1-75mm-x-1kg-overcast-grey-glitter, None, PLA, Printed Solid, https://www.printedsolid.com
A0DAF6, https://shop.fillamentum.com/products/pla-extrafill-crystal-clear-iceland-blue, None, PLA, Fillamentum, https://fillamentum.com/
F30B0B, https://www.ziro3d.com/products/ziro-twinkling-pla-filament-red-175mm-1kg-92, None, PLA, Ziro, http://www.ziro3d.com
F8160A, https://us.polymaker.com/products/polymax-pla?variant=39574349643833, None, PolyMax PLA, Polymaker, https://polymaker.com/
FA98AB, https://www.printedsolid.com/products/jessie-pla-1-75mm-x-1kg-neon-pink, None, PLA, Printed Solid, https://www.printedsolid.com
B2D4E4, https://us.sunlu.com/products/twinkling-blue-pla-1-75mm-filament-1kg-2-2lbs-fit-most-of-fdm-printer, None, PLA, Enotepad, https://enotepad.shop/
2C292B, https://www.hatchbox3d.com/products/3d-pla-1kg1-75-blk?_pos=5&_sid=c3408798d&_ss=r, https://amzn.to/3uiCz9i, PLA, Hatchbox, https://hatchbox3d.com/
0505E8, https://www.hatchbox3d.com/products/3d-pla-1kg1-75-blu?_pos=2&_sid=c6e763e72&_ss=r, https://amzn.to/3L3KGxl, PLA, Hatchbox, https://hatchbox3d.com/
F80A09, https://www.hatchbox3d.com/products/title?_pos=9&_sid=5434c1c8c&_ss=r, None, PLA, Hatchbox, https://hatchbox3d.com/
FBFB05, https://www.hatchbox3d.com/products/3d-pla-1kg1-75-ylw?_pos=5&_sid=b128bc4aa&_ss=r, https://amzn.to/3wuCwtB, PLA, Hatchbox, https://hatchbox3d.com/
2DEF8E, https://www.hatchbox3d.com/products/3d-pla-1kg1-75-grn?_pos=1&_sid=07825873c&_ss=r, https://amzn.to/36AgLOi, PLA, Hatchbox, https://hatchbox3d.com/
FBEF3B, https://www.ic3dprinters.com/shop/pla-filaments/, None, PLA, IC3D, https://ic3dprinters.com/
